court_name,males_perc,age_0_9_perc,age_18_25_perc,age_45._perc,single_perc,eth_white_perc,eth_asian_perc,eth_black_perc,birth_UK_perc,christian_perc,muslim_perc,social_rented_perc,house_owned_perc,no_central_heating_perc,job_unemployed_perc
24,0.57304038,0.045724466,0.221496437,0.568289786,0.56952381,0.903800475,0.033254157,0.026128266,0.847387173,0.566508314,0.01543943,0.289265537,0.301694915,0.055367232,0.061797753
25,0.516556291,0.105014191,0.113528855,0.599810785,0.420993228,0.966887417,0.022705771,0.000946074,0.936613056,0.518448439,0.014191107,0.282918149,0.348754448,0.049822064,0.105196451
26,0.526315789,0.067368421,0.234385965,0.501052632,0.67077872,0.865964912,0.063157895,0.02245614,0.719298246,0.489824561,0.025964912,0.311046512,0.244186047,0.030523256,0.044298605
27,0.517857143,0.145449309,0.098214286,0.56624424,0.395848507,0.334101382,0.440956221,0.131336406,0.465725806,0.374711982,0.193260369,0.100498339,0.532392027,0.025747508,0.05500382
NA,0.536107711,0.0875153,0.127906977,0.578947368,0.493333333,0.93880049,0.034271726,0.004283966,0.79253366,0.573439412,0.016523868,0.172869148,0.319327731,0.048019208,0.042602634
NA,0.505894962,0.083601286,0.161843516,0.579849946,0.435619735,0.861736334,0.055734191,0.030010718,0.725616292,0.560557342,0.028938907,0.114068441,0.429657795,0.062737643,0.069832402
28,0.497804796,0.093211753,0.183046268,0.482607227,0.666666667,0.566700439,0.148598446,0.197568389,0.593380615,0.440729483,0.135764944,0.430894309,0.189430894,0.047154472,0.042328042
29,0.549115314,0.115314216,0.138499085,0.51799878,0.543731778,0.787065284,0.091519219,0.042098841,0.726662599,0.448444173,0.067114094,0.334164589,0.288029925,0.05361596,0.074355083
NA,0.503722084,0.084367246,0.124069479,0.591397849,0.418972332,0.973531844,0.020678246,0.00082713,0.947063689,0.476426799,0.00248139,0.233974359,0.419871795,0.051282051,0.04778157
30,0.516706855,0.156389941,0.081639683,0.554943162,0.396657872,0.510850844,0.329314502,0.06407165,0.581811919,0.438511884,0.117464692,0.117539027,0.506887052,0.013774105,0.052511416
NA,0.489974937,0.115914787,0.100877193,0.62593985,0.358420268,0.966165414,0.011278195,0.003759398,0.884711779,0.617794486,0.001253133,0.145833333,0.561197917,0.0390625,0.053962901
NA,0.604347826,0.034782609,0.339130435,0.429347826,0.742953777,0.816304348,0.07173913,0.030434783,0.756521739,0.380434783,0.080434783,0.130067568,0.182432432,0.106418919,0.062358277
31,0.481624758,0.083172147,0.224854932,0.520793037,0.565359477,0.768375242,0.131528046,0.022727273,0.679400387,0.482108317,0.047388781,0.16481069,0.433184855,0.045657016,0.030565167
NA,0.463601533,0.116584565,0.039408867,0.736726875,0.235714286,0.980842912,0.006568144,0.002189381,0.935960591,0.684729064,0.002189381,0.072631579,0.706315789,0.024210526,0.028618152
NA,0.508653846,0.0875,0.249519231,0.487980769,0.585041551,0.857692308,0.109134615,0.014903846,0.837980769,0.450480769,0.08125,0.130718954,0.422657952,0.045751634,0.033043478
32,0.570588235,0.041176471,0.311764706,0.341176471,0.787692308,0.652941176,0.114705882,0.017647059,0.623529412,0.344117647,0.182352941,0.019138756,0.224880383,0.138755981,0.058461538
33,0.526066351,0.025519504,0.492526431,0.335034634,0.788027108,0.51512942,0.310973387,0.079110463,0.50419249,0.363106088,0.134159679,0.381909548,0.125628141,0.052763819,0.066898685
NA,0.483870968,0.095925297,0.062818336,0.706281834,0.397795591,0.932088285,0.030560272,0.005093379,0.864601019,0.391765705,0.005517827,0.07518797,0.609022556,0.045948204,0.028184893
35,0.474986835,0.037388099,0.465508162,0.385992628,0.700501952,0.939968404,0.024223275,0.013691417,0.897840969,0.508688784,0.00895208,0.094339623,0.358490566,0.03628447,0.020576132
NA,0.619771863,0.027376426,0.29581749,0.417490494,0.759083728,0.789353612,0.100380228,0.028897338,0.663117871,0.455513308,0.069961977,0.060961313,0.233294256,0.036342321,0.035003978
37,0.593535076,0.081843191,0.347317744,0.306740028,0.702225633,0.486244842,0.293672627,0.142365887,0.403026135,0.414030261,0.157496561,0.267692308,0.073846154,0.063076923,0.051405622
38,0.511247444,0.093387866,0.167689162,0.509202454,0.544244323,0.887525562,0.053851397,0.035446489,0.795501022,0.525562372,0.02726653,0.241666667,0.286111111,0.05,0.065397351
39,0.584462982,0.022940563,0.180917623,0.446819604,0.732362822,0.811783107,0.0818561,0.024504692,0.741918665,0.449947862,0.068821689,0.115101289,0.29373849,0.034990792,0.032786885
40,0.539695946,0.008868243,0.530405405,0.282939189,0.848420154,0.679898649,0.235641892,0.029983108,0.665118243,0.347128378,0.038429054,0.132258065,0.283870968,0.098924731,0.014140521
41,0.507668712,0.077453988,0.089723926,0.679447853,0.378070175,0.947852761,0.023773006,0.00690184,0.86196319,0.606595092,0.01303681,0.360856269,0.342507645,0.021406728,0.067991632
NA,0.564561734,0.069745523,0.213949105,0.568331762,0.579390116,0.686145146,0.21866164,0.028275212,0.774740811,0.459000943,0.176248822,0.561174551,0.156606852,0.032626427,0.126931567
42,0.468227425,0.053511706,0.053511706,0.775919732,0.212686567,0.969899666,0.030100334,0,0.939799331,0.759197324,0.016722408,0.031007752,0.860465116,0.007751938,0.014218009
43,0.547425474,0.005420054,0.65799458,0.175067751,0.913708356,0.721409214,0.189701897,0.027100271,0.686178862,0.41300813,0.049864499,0.091051805,0.188383046,0.040816327,0.024083196
44,0.514054054,0.113513514,0.110810811,0.612972973,0.434184676,0.815135135,0.112432432,0.02972973,0.861621622,0.505405405,0.083783784,0.176980198,0.511138614,0.027227723,0.071783937
45,0.535519126,0.096799375,0.184231069,0.493754879,0.559033989,0.681498829,0.174473068,0.091334895,0.575722092,0.475409836,0.12802498,0.210730949,0.254276827,0.038102644,0.061195446
46,0.478395062,0.090277778,0.107253086,0.652777778,0.474190726,0.94212963,0.022376543,0.009259259,0.882716049,0.511574074,0.013888889,0.5,0.188,0.028,0.05573081
47,0.582479031,0.048462255,0.321528425,0.420316869,0.744939271,0.634669152,0.151910531,0.073625349,0.683131407,0.357875116,0.087604846,0.295798319,0.191596639,0.03697479,0.080329557
48,0.559795754,0.029830691,0.559795754,0.281375974,0.809175345,0.816447192,0.111529159,0.019349637,0.684224671,0.389948938,0.03144316,0.280927835,0.306701031,0.033505155,0.019653857
49,0.520263902,0.124410933,0.136663525,0.499528746,0.534385569,0.814326107,0.124410933,0.029217719,0.728557964,0.519321395,0.033930254,0.14801444,0.386281588,0.034296029,0.036556604
50,0.50887574,0.038461538,0.326923077,0.522189349,0.601265823,0.926035503,0.034023669,0.013313609,0.819526627,0.479289941,0.022189349,0.300353357,0.339222615,0.056537102,0.064846416
51,0.509772423,0.092637216,0.583935743,0.22356091,0.796812749,0.752342704,0.152342704,0.037751004,0.781258367,0.384738956,0.097188755,0.596795728,0.158878505,0.041388518,0.037327478
NA,0.586765699,0.0486158,0.241053342,0.525995949,0.623082542,0.745442269,0.135043889,0.014854828,0.751519244,0.483457124,0.096556381,0.514522822,0.081950207,0.078838174,0.088940449
52,0.629337539,0.037066246,0.268138801,0.495268139,0.680532446,0.711356467,0.166403785,0.014195584,0.692429022,0.440851735,0.133280757,0.327380952,0.083333333,0.085714286,0.06993007
53,0.631578947,0.06920078,0.244639376,0.432748538,0.63780359,0.600389864,0.271929825,0.039961014,0.53411306,0.317738791,0.095516569,0.075396825,0.224206349,0.051587302,0.047821467
NA,0.501582278,0.109177215,0.09335443,0.633702532,0.396869245,0.938291139,0.040348101,0.006329114,0.875,0.575949367,0.017405063,0.152428811,0.58961474,0.038525963,0.03433923
54,0.495350803,0.017751479,0.584108199,0.189349112,0.897413793,0.624683009,0.187658495,0.101437025,0.615384615,0.278106509,0.110735418,0.08097166,0.099190283,0.066801619,0.033707865
55,0.501779359,0.107947805,0.059311981,0.724792408,0.248951049,0.983392645,0.010676157,0,0.921708185,0.729537367,0.007117438,0.044619423,0.80839895,0.015748031,0.020933977
56,0.496828753,0.090909091,0.063424947,0.664904863,0.402948403,0.655391121,0.209302326,0.062367865,0.645877378,0.432346723,0.118393235,0.096069869,0.561135371,0.013100437,0.031463748
57,0.564025909,0.050822123,0.387643249,0.360239163,0.743343983,0.785749875,0.107125062,0.048330842,0.699053313,0.41305431,0.064773293,0.145854146,0.214785215,0.043956044,0.052688172
NA,0.543607113,0.113463167,0.100762066,0.612193057,0.486210419,0.869602032,0.070279424,0.036409822,0.817104149,0.472480948,0.050804403,0.267558528,0.382943144,0.036789298,0.08871851
58,0.593519882,0.038291605,0.134020619,0.552282769,0.683800623,0.733431517,0.134020619,0.055964654,0.518409426,0.412371134,0.042709867,0.1015625,0.265625,0.036458333,0.025
59,0.517482517,0.114219114,0.065268065,0.631118881,0.497991968,0.868298368,0.064102564,0.032051282,0.807692308,0.512237762,0.021561772,0.15536105,0.460612691,0.0404814,0.048585932
60,0.602230483,0.069392813,0.211895911,0.539033457,0.571428571,0.840148699,0.084262701,0.024783147,0.780669145,0.406443618,0.044609665,0.218,0.252,0.078,0.062059238
