Sentencing.court,Aggravating.72,Mitigating.36,disorder,affray,GBH,intent,common,custody
3,,,,,,grievous bodily harm with intent,,immediate custody
3,,,,,,grievous bodily harm with intent,,immediate custody
3,,,,,,grievous bodily harm with intent,,immediate custody
3,,genuine remorse,,,grievous bodily harm,,,
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,
3,,genuine remorse,,,grievous bodily harm,,,
3,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
3,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,genuine remorse,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,genuine remorse,,,grievous bodily harm,,,immediate custody
3,,genuine remorse,,,grievous bodily harm,,,
3,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,
3,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,
3,,,,,grievous bodily harm,,,
3,,genuine remorse,,,grievous bodily harm,,,
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,genuine remorse,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,
3,,,,,grievous bodily harm,,,
3,,genuine remorse,,,grievous bodily harm,,,immediate custody
3,,genuine remorse,,,grievous bodily harm,,,
3,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,genuine remorse,,,grievous bodily harm,,,
3,,genuine remorse,,,grievous bodily harm,,,
3,,genuine remorse,,,grievous bodily harm,,,
3,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,genuine remorse,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,
3,,,,,grievous bodily harm,,,
3,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,,,grievous bodily harm,,,immediate custody
3,,,violent disorder,,,,,immediate custody
3,,,violent disorder,,,,,
3,,,violent disorder,,,,,immediate custody
3,,,violent disorder,,,,,immediate custody
3,,,violent disorder,,,,,immediate custody
3,,,violent disorder,,,,,immediate custody
6,,,,affray,,,,immediate custody
6,,,,affray,,,,
6,,,,affray,,,,
6,,,,affray,,,,
6,,,,,,,,immediate custody
6,under influence drugs/alcohol,genuine remorse,,,,,,
6,under influence drugs/alcohol,,,,,,,immediate custody
6,,,,,,,,
6,,genuine remorse,,,,,,immediate custody
6,,,,,,,,
6,,,,,,,,immediate custody
6,,genuine remorse,,,,,,immediate custody
