Sentencing.court,Step1HigherCulpA,Step1HigherCulpC,Step1HigherCulpD,Step1HigherCulpF,Step1HigherCulpG,Step1HigherCulpI,Step1HigherCulpJ,Step1HigherHarmA,Step1HigherHarmB,Step1HigherHarmC,Step1LowerCulpA,Step1LowerCulpB,Step1LowerCulpC,Step1LowerCulpD,Step1LowerCulpE,Step1LowerHarmA,Aggravating.3,Aggravating.5,Aggravating.9,Aggravating.19,Aggravating.25,Aggravating.26,Aggravating.28,Aggravating.37,Aggravating.44,Aggravating.45,Aggravating.54,Aggravating.55,Aggravating.70,Aggravating.72,Mitigating.3,Mitigating.6,Mitigating.16,Mitigating.20,Mitigating.22,Mitigating.24,Mitigating.25,Mitigating.29,Mitigating.33,Mitigating.36,Mitigating.39,pleafirst,disorder,affray,GBH,intent,common,custody
7,,intent more harm,,premeditation,,vulnerable victim,,,,personally vulnerable,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
7,,,,,,,,serious injury,,,lack of premeditation,,,,,,,,,,,,,location,,,,,,under influence drugs/alcohol,addressing addiction,,,,lapse of time,,,,,genuine remorse,single blow,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,,isolated incident,,,,no previous convictions,,,,,,,,,,
7,,,,premeditation,,vulnerable victim,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,good character,,,,,,,genuine remorse,single blow,,,,,,,
7,,,,premeditation,,vulnerable victim,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,good character,,,,,,,genuine remorse,single blow,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,,isolated incident,,,,no previous convictions,,,,,,,,,,
7,,,,,,,,,,,,,,,,less serious injury,,,,,,,,location,,ongoing effect,,,,,,lack of maturity,,,,,,no previous convictions,,genuine remorse,,,,,,,,
7,,,,,,,,,repeated assault,,lack of premeditation,,,,,less serious injury,,,,,,,,location,,ongoing effect,,,,under influence drugs/alcohol,,,,isolated incident,,,,no previous convictions,,genuine remorse,,,,,,,,
7,,,,,,,,serious injury,repeated assault,,lack of premeditation,,,selfdefence,,,,,,,,,,,,,,,,,,lack of maturity,,isolated incident,,,,no previous convictions,,genuine remorse,,,,,,,,
7,,,,,,vulnerable victim,,,repeated assault,personally vulnerable,,,,,,less serious injury,,,,,,,,location,,,,,,,,,,,,,,no previous convictions,,genuine remorse,,,,,,,,immediate custody
7,,,,,,vulnerable victim,use of weapon,serious injury,repeated assault,,,,,,,,,,,,,failure to comply with court orders,,,,,,previous violence,,under influence drugs/alcohol,,,,,,,,,,,,,,,,,,immediate custody
7,,,leading role gang,,,,use of weapon,,,personally vulnerable,lack of premeditation,,,,,,,,,,,failure to comply with court orders,,,,,,previous violence,,,,,,,,,,,,,,,,,,,,immediate custody
7,,,,,,,,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single blow,early guilty plea,,,,,,immediate custody
7,,,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary carer,,,,,,,,,
7,,,,,,,,,,,lack of premeditation,,,selfdefence,,less serious injury,,,,,,,,,,,,,,under influence drugs/alcohol,addressing addiction,,,,,,,no previous convictions,,genuine remorse,single blow,,,,,,,
7,,,,premeditation,,,,serious injury,,personally vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genuine remorse,,,,,,,,immediate custody
7,,,,,,vulnerable victim,,,,personally vulnerable,lack of premeditation,,,,,,abuse of trust,,,,,,,,,,,previous violence,,under influence drugs/alcohol,,,,,,,,,,,,,,,,,,immediate custody
7,,,,,,,,,repeated assault,,,,,,,,,,,,,,gratuitous degradation,,,,,previous violence,,,,,,,,,,,,,,,,,,,,immediate custody
7,,,,,,,use of weapon,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,,presence of others,,,,,,,,,,,,primary carer,,single blow,,,,,,,
7,,,,,against race/religion,,,serious injury,repeated assault,,,,,,,,,,,,,,,,,,presence of others,,,under influence drugs/alcohol,,,,,,,,no previous convictions,,,,,,,,,,immediate custody
7,,,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,addressing addiction,,,,,medical condition,,,,,,,,,,,,
7,,,,,,,use of weapon,,,,lack of premeditation,,,,,,,,,,,,,location,,,presence of others,,timing of the offence,,,,,,,,,,,,,,,,,,,immediate custody
7,,,,,,,,serious injury,,,,,,selfdefence,,,,,,,,,,,,,,,,,,,,isolated incident,,,,,,genuine remorse,,,,,,,,
7,,,,,,,,,repeated assault,,lack of premeditation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genuine remorse,,early guilty plea,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
7,,,,,,,use of weapon,,,,lack of premeditation,,,,subordinate role gang,,,,,,,,,location,,,,,,,,lack of maturity,good character,isolated incident,,,,no previous convictions,,genuine remorse,,early guilty plea,,affray,,,,
7,,,,,,,use of weapon,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,,,,,mental disability (general),,,genuine remorse,,early guilty plea,,affray,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
7,,,,,,,,,,,,,,,,,,against public worker,,,,,,,,,presence of others,,,,,,,,,,mental disability (general),,,,,,,affray,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
7,,,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
7,,,,,,,,,,personally vulnerable,,,,,,,,,on bail,,,,,,,,,,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,,,,common assault,immediate custody
7,,,,,,,,,,,,,,,,,,against public worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common assault,immediate custody
7,deliberate harm,,leading role gang,,,,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,good character,isolated incident,,,,no previous convictions,,genuine remorse,single blow,,,,,,common assault,
7,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,,,,,,,isolated incident,,,,no previous convictions,,,,,,,,,common assault,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,isolated incident,,,,,,,,,,,,,common assault,
7,,intent more harm,leading role gang,premeditation,,vulnerable victim,use of weapon,,repeated assault,,,,,,,less serious injury,,,,,,,gratuitous degradation,,,,presence of others,,,under influence drugs/alcohol,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
7,,intent more harm,,,,,use of weapon,,repeated assault,,,,,,subordinate role gang,less serious injury,,,,,,,,,,,presence of others,,,under influence drugs/alcohol,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
7,,,,premeditation,,,use of weapon,serious injury,repeated assault,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,,,,,,,,genuine remorse,,early guilty plea,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,vulnerable victim,use of weapon,,repeated assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no previous convictions,,,,,,,,grievous bodily harm with intent,,immediate custody
7,,,leading role gang,premeditation,,,use of weapon,,repeated assault,personally vulnerable,,,,,,,,,,,,,gratuitous degradation,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
7,deliberate harm,,,,,,use of weapon,,,,,,,,,,,,,,,,,location,,,,,timing of the offence,,,,,,,,,,,,single blow,,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,,use of weapon,serious injury,repeated assault,personally vulnerable,lack of premeditation,,,,,,abuse of trust,,,,,,,location,,ongoing effect,,,,,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
7,deliberate harm,,,premeditation,,,use of weapon,serious injury,repeated assault,,,,,,,,,,,,,,,,,,,,,,,lack of maturity,,,,,,,,genuine remorse,,early guilty plea,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,,use of weapon,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,ongoing effect,,,,,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,,,ongoing effect,,,,,,,,isolated incident,,,,,primary carer,,single blow,,,,,grievous bodily harm with intent,,immediate custody
7,,intent more harm,,premeditation,,,use of weapon,serious injury,repeated assault,,,,,,,,,,,,,,,location,,ongoing effect,presence of others,,timing of the offence,under influence drugs/alcohol,,,,,,,,no previous convictions,,,,,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,,use of weapon,serious injury,repeated assault,personally vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm,,,
